Rank,Title,Type,Episodes,Start_Year,Score,Members
1,Sousou no Frieren,TV,28.0,2023,9.25,1513339
2,Fullmetal Alchemist: Brotherhood,TV,64.0,2009,9.11,3733934
3,Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,TV,19.0,2026,9.11,327052
4,Steel Ball Run: JoJo no Kimyou na Bouken,ONA,,2026,9.08,233056
5,Bleach: Sennen Kessen-hen - Kashin-tan,TV,10.0,2026,9.07,162779
6,Steins;Gate,TV,24.0,2011,9.07,2850872
7,Chainsaw Man Movie: Reze-hen,Movie,1.0,2025,9.05,547622
8,Gintama: The Final,Movie,1.0,2021,9.05,188362
9,Gintama°,TV,51.0,2015,9.05,699157
10,Shingeki no Kyojin Season 3 Part 2,TV,10.0,2019,9.05,2637835
11,Hunter x Hunter (2011),TV,148.0,2011,9.03,3239880
12,Ginga Eiyuu Densetsu,OVA,110.0,1988,9.02,369629
13,Gintama',TV,51.0,2011,9.02,622250
14,Gintama': Enchousen,TV,13.0,2012,9.02,362261
15,One Piece Fan Letter,TV,1.0,2024,9.0,165841
16,Bleach: Sennen Kessen-hen,TV,13.0,2022,8.98,730762
17,Gintama.,TV,12.0,2017,8.98,353107
18,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13.0,2022,8.95,1137132
19,Clannad: After Story,TV,24.0,2008,8.93,1300457
20,Fruits Basket: The Final,TV,13.0,2021,8.93,574081
21,Gintama,TV,201.0,2006,8.93,1168499
22,Koe no Katachi,Movie,1.0,2016,8.93,2660201
23,Code Geass: Hangyaku no Lelouch R2,TV,25.0,2008,8.92,1982466
24,3-gatsu no Lion 2nd Season,TV,22.0,2017,8.9,443681
25,Kusuriya no Hitorigoto 2nd Season,TV,24.0,2025,8.9,548345
26,Monster,TV,74.0,2004,8.9,1359942
27,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1.0,2013,8.89,264992
28,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,TV,14.0,2018,8.88,229576
29,Owarimonogatari 2nd Season,TV,7.0,2017,8.86,442540
30,Shingeki no Kyojin: The Final Season - Kanketsu-hen,TV,2.0,2023,8.86,895379
31,Kingdom 3rd Season,TV,26.0,2020,8.85,137673
32,Kusuriya no Hitorigoto,TV,24.0,2023,8.84,895439
33,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,Movie,1.0,2024,8.84,100204
34,Sousou no Frieren 2nd Season,TV,10.0,2026,8.84,609174
35,Vinland Saga Season 2,TV,24.0,2023,8.83,889865
36,Violet Evergarden Movie,Movie,1.0,2020,8.83,745208
37,Kimi no Na wa.,Movie,1.0,2016,8.82,3068319
38,Ashita no Joe 2,TV,47.0,1980,8.81,70382
39,Gintama Movie 3: Yoshiwara Daienjou,Movie,1.0,2026,8.81,15800
40,Gintama. Shirogane no Tamashii-hen,TV,12.0,2018,8.81,241245
41,Shingeki no Kyojin: The Final Season,TV,16.0,2020,8.79,2332290
42,Hajime no Ippo,TV,75.0,2000,8.78,708767
43,Kizumonogatari III: Reiketsu-hen,Movie,1.0,2017,8.78,520793
44,Mob Psycho 100 II,TV,13.0,2019,8.78,1755109
45,Shingeki no Kyojin: The Final Season Part 2,TV,12.0,2022,8.78,1599071
46,Vinland Saga,TV,24.0,2019,8.78,1867194
47,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10.0,2016,8.77,1344731
48,Sen to Chihiro no Kamikakushi,Movie,1.0,2001,8.77,2053210
49,Monogatari Series: Second Season,TV,26.0,2013,8.76,726594
50,Cowboy Bebop,TV,26.0,1998,8.75,2085156
51,Takopii no Genzai,ONA,6.0,2025,8.74,352382
52,86 Part 2,TV,12.0,2021,8.73,663690
53,Hibike! Euphonium 3,TV,13.0,2024,8.73,101733
54,Kingdom 4th Season,TV,26.0,2022,8.73,93763
55,One Piece,TV,,1999,8.73,2725952
56,Bocchi the Rock!,TV,12.0,2022,8.72,823144
57,Chi. Chikyuu no Undou ni Tsuite,TV,25.0,2024,8.72,317979
58,Jiyi Guanli Ju (2026),ONA,7.0,2026,8.72,24843
59,Kingdom 5th Season,TV,13.0,2024,8.72,65910
60,Mob Psycho 100 III,TV,12.0,2022,8.72,887183
61,Mushishi Zoku Shou 2nd Season,TV,10.0,2014,8.72,296163
62,Boku no Hero Academia: Final Season,TV,11.0,2025,8.71,344793
63,Code Geass: Hangyaku no Lelouch,TV,25.0,2006,8.71,2508501
64,Ikoku Nikki,TV,13.0,2026,8.71,127081
65,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,1.0,2022,8.71,397090
66,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,TV,13.0,2023,8.7,436166
67,Guimi Zhi Zhu Specials,ONA,3.0,2026,8.7,20684
68,Shiguang Dailiren,ONA,11.0,2021,8.7,496092
69,The First Slam Dunk,Movie,1.0,2022,8.7,80328
70,Jujutsu Kaisen 2nd Season,TV,23.0,2023,8.69,1457635
71,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4.0,1999,8.69,294354
72,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12.0,2017,8.69,203921
73,Violet Evergarden,TV,13.0,2018,8.69,2029383
74,Great Teacher Onizuka,TV,43.0,1999,8.68,934462
75,Kimetsu no Yaiba: Yuukaku-hen,TV,11.0,2021,8.68,1779455
76,Mushishi Zoku Shou,TV,10.0,2014,8.68,330316
77,[Oshi no Ko] 3rd Season,TV,11.0,2026,8.68,296635
78,Bleach: Sennen Kessen-hen - Soukoku-tan,TV,14.0,2024,8.67,321059
79,Boku no Kokoro no Yabai Yatsu 2nd Season,TV,13.0,2024,8.67,324798
80,Hajime no Ippo: New Challenger,TV,26.0,2009,8.67,332055
81,Howl no Ugoku Shiro,Movie,1.0,2004,8.67,1511527
82,Mononoke Hime,Movie,1.0,1997,8.67,1398504
83,Uma Musume: Cinderella Gray Part 2,TV,10.0,2025,8.67,74721
84,Kingdom 6th Season,TV,13.0,2025,8.66,42621
85,Luo Xiaohei Zhanji 2,Movie,1.0,2025,8.66,14493
86,Tu Bian Yingxiong X,ONA,24.0,2025,8.66,267944
87,Kimetsu no Yaiba Movie 1: Mugenjou-hen - Akaza Sairai,Movie,1.0,2025,8.65,422995
88,Mushishi,TV,26.0,2005,8.65,918011
89,Shingeki no Kyojin Season 3,TV,12.0,2018,8.65,2710060
90,Tengen Toppa Gurren Lagann,TV,27.0,2007,8.65,1792499
91,Mo Dao Zu Shi: Wanjie Pian,ONA,12.0,2021,8.64,98349
92,Monogatari Series: Off & Monster Season,ONA,14.0,2024,8.64,107866
93,Shigatsu wa Kimi no Uso,TV,22.0,2014,8.64,2458674
94,Tian Guan Cifu Er,ONA,12.0,2023,8.64,67349
95,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Movie,1.0,2024,8.64,66069
96,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1.0,2020,8.63,416193
97,Natsume Yuujinchou Shi,TV,13.0,2012,8.63,268331
98,Ping Pong the Animation,TV,11.0,2014,8.63,447262
99,Chiikawa,TV,,2022,8.62,25541
100,Cyberpunk: Edgerunners,ONA,10.0,2022,8.62,1110950
101,Death Note,TV,37.0,2006,8.62,4362544
102,Haikyuu!! Movie: Gomisuteba no Kessen,Movie,1.0,2024,8.62,240348
103,Made in Abyss,TV,13.0,2017,8.62,1575549
104,Odd Taxi,TV,13.0,2021,8.62,522370
105,Shiguang Dailiren II,ONA,12.0,2023,8.62,179767
106,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,1.0,2009,8.62,242204
107,Guimi Zhi Zhu: Xiaochou Pian,ONA,13.0,2025,8.61,227904
108,Haikyuu!! Second Season,TV,25.0,2015,8.61,1585627
109,Hajime no Ippo: Rising,TV,25.0,2013,8.61,304281
110,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,12.0,2020,8.61,1524520
111,Kenpuu Denki Berserk,TV,25.0,1997,8.61,782178
112,Look Back,Movie,1.0,2024,8.61,263830
113,Natsume Yuujinchou Roku,TV,11.0,2017,8.61,207923
114,Bungou Stray Dogs 5th Season,TV,11.0,2023,8.6,268470
